Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Цвет;Characteristics:Размер;Characteristics:Состав;Weight;Length;Width;Height
2,25601E+11;;;;"Топы и футболки;Рубчик";Топ-бра рубчик;Топ-бра рубчик;;https://static.tildacdn.com/stor6331-3931-4931-a239-343761323230/93489922.jpg;;;;;;cc4aa325-ffae-11ed-bc99-18037346542a;;белый;"XS/S (40-42); M/L (44-46)";95% полиэстер, 5% эластан;0;0;0;0
9,14487E+11;;RE-TBST-W-01;;;Топ-бра рубчик / XS/S (40-42)- XS/S (40-42);;;;4190.00;3;;Размеры:XS/S (40-42);;6UtFp6l2smRdeYIEB7j8;2,25601E+11;;;;0;0;0;0
9,05992E+11;;RE-TBST-W-02;;;Топ-бра рубчик / M/L (44-46)- M/L (44-46);;;;4190.00;0;;Размеры:M/L (44-46);;ZJPgEG0vRHiSZdkBgifb;2,25601E+11;;;;0;0;0;0
5,01592E+11;;;;"Топы и футболки;Рубчик";Кроп-топ рубчик;Кроп-топ рубчик;;https://static.tildacdn.com/stor3732-3438-4534-a238-303339356431/73772623.jpg;;;;;;cc4aa329-ffae-11ed-bc99-18037346542a;;розовый;"XS/S (40-42); M/L (44-46)";95% полиэстер, 5% эластан;0;0;0;0
2,75902E+11;;RE-KTST-P-01;;;Кроп-топ рубчик / XS/S (40-42)- XS/S (40-42);;;;4990.00;2;;Размеры:XS/S (40-42);;pGysc9kjJUlSvTi2FuBz;5,01592E+11;;;;0;0;0;0
4,31669E+11;;RE-KTST-P-02;;;Кроп-топ рубчик / M/L (44-46)- M/L (44-46);;;;4990.00;0;;Размеры:M/L (44-46);;XhBUeRS6dCpgPymVIRTp;5,01592E+11;;;;0;0;0;0
6,20356E+11;;;;"Топы и футболки;Рубчик";Кроп-топ рубчик;Кроп-топ рубчик;;https://static.tildacdn.com/stor3634-3935-4934-a432-363166363430/15725504.jpg;;;;;;cc4aa32d-ffae-11ed-bc99-18037346542a;;голубой;XS/S (40-42);95% полиэстер, 5% эластан;0;0;0;0
6,04183E+11;;RE-KTST-B-01;;;Кроп-топ рубчик / XS/S (40-42)- XS/S (40-42);;;;4990.00;1;;Размеры:XS/S (40-42);;O1SFkgD2oJPIr95efAug;6,20356E+11;;;;0;0;0;0
1,18326E+11;;RE-KTST-B-02;;;Кроп-топ рубчик / M/L (44-46)- M/L (44-46);;;;4990.00;2;;Размеры:M/L (44-46);;sGfyGEDT6Zp8ceaZg550;6,20356E+11;;;;0;0;0;0
4,96673E+11;;;;"Топы и футболки;SOFT TOUCH";Топ с узлом;Топ с узлом;;https://static.tildacdn.com/stor6632-6137-4464-b762-396662646261/96002317.jpg;;;;;;cc4aa331-ffae-11ed-bc99-18037346542a;;синий;"XS(40); S (42); M (44)";95% полиэстер 5% спандекс;0;0;0;0
9,84213E+11;;RE-KTS-DBLUE-01;;;Топ с узлом / XS- XS;;;;5990.00;5;;Размеры:XS;;U3jtSdi0xontguxxVZ7U;4,96673E+11;;;;0;0;0;0
9,07076E+11;;RE-KTS-DBLUE-02;;;Топ с узлом / S- S;;;;5990.00;5;;Размеры:S;;VgfoRld2RMlbUSBjcu87;4,96673E+11;;;;0;0;0;0
2,72683E+11;;RE-KTS-DBLUE-03;;;Топ с узлом / M- M;;;;5990.00;5;;Размеры:M;;GAiejijJkvreZVAzGLRj;4,96673E+11;;;;0;0;0;0
1,60687E+11;;;;Леггинсы и велосипедки;Велосипедки на резинке;;;https://static.tildacdn.com/stor6535-6135-4533-b336-383939333066/79036175.jpg;;;;;;cc4aa343-ffae-11ed-bc99-18037346542a;;белый;XS/S (40-42);95% полиэстер, 5% эластан;0;0;0;0
8,4866E+11;;RE-CYCST-W-03;;;Велосипедки на резинке / XS-S- XS-S;;;;4490.00;1;;Размеры:XS-S;;SiNPzy4oj5YyVYmMTbff;1,60687E+11;;;;0;0;0;0
6,65079E+11;;RE-CYCST-W-04;;;Велосипедки на резинке / M-L- M-L;;;;4490.00;0;;Размеры:M-L;;SZko0Gb145EKD2TYFDav;1,60687E+11;;;;0;0;0;0
9,94766E+11;;;;Леггинсы и велосипедки;Велосипедки на резинке;;;https://static.tildacdn.com/stor3666-6538-4336-b533-393566623465/85907589.jpg;;;;;;cc4aa347-ffae-11ed-bc99-18037346542a;;голубой;XS/S (40-42);95% полиэстер, 5% эластан;0;0;0;0
7,15199E+11;;RE-CYCST-B-03;;;Велосипедки на резинке / XS-S- XS-S;;;;4490.00;4;;Размеры:XS-S;;e3n4zLcjjmFPpTLLGNXn;9,94766E+11;;;;0;0;0;0
5,54741E+11;;RE-CYCST-B-04;;;Велосипедки на резинке / M-L- M-L;;;;4490.00;2;;Размеры:M-L;;7mddaANlUS1I4Co8v9SF;9,94766E+11;;;;0;0;0;0
