id,title,description,availability,condition,price,link,image_link,brand,google_product_category,mobile_android_app_link,mobile_ios_app_link,android_tracking_url,ios_tracking_url,android_app_link,mobile_ios_app_store_id,custom_label_0,custom_label_1,custom_label_2
5532,"Букет из 19 ирисов в дизайнерской упаковке","Безупречный букет из ирисов, подойдет к любому событию и доставит море положительных эмоций. Подарки к каждому букету:- Бесплатная открытка с вашим текстом- Подкормка для цветов- Инструкция к букету- Аквабокс","in stock",new,"2290 RUB",https://flowwow.com/flowers/buket-irisy-19-sht/,https://content2.flowwow-images.com/data/flowers/1000x1000/08/1637480948_55124608.jpg,657,2899,flowwow://present/bouquet?city_id=1&bouquet_id=5532,flowwow://present/bouquet?city_id=1&bouquet_id=5532,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fcity_id%3D1%26bouquet_id%3D5532&redirect=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.flowwow%26hl%3Dru%26gl%3DUS,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fbouquet_id%3D5532%26city_id%3D1,com.flowwow,1201155481,1,cat1,cat1
10050,"","Милый и нежный букет из розовых роз сорта Аква упакованный в дизайнерскую бумагу. Чудесный букет обязательно понравится вашему получателю.Подарки к каждому букету:- Бесплатная открытка с вашим текстом- Подкормка для цветов- Инструкция к букету- Аквабокс","in stock",new,"2991 RUB",https://flowwow.com/flowers/buket-n4-19-sht-50sm/,https://content2.flowwow-images.com/data/flowers/1000x1000/47/1636352555_7852847.jpg,657,2899,flowwow://present/bouquet?city_id=1&bouquet_id=10050,flowwow://present/bouquet?city_id=1&bouquet_id=10050,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fcity_id%3D1%26bouquet_id%3D10050&redirect=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.flowwow%26hl%3Dru%26gl%3DUS,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fbouquet_id%3D10050%26city_id%3D1,com.flowwow,1201155481,1,cat1,cat1
51269,"Букет из 19 белых роз в дизайнерской упаковке","Очаровательный и милый букет и свежайшей белой розы сорта Аваланж упакованный в дизайнерскую упаковку. Подарки к каждому букету.- Бесплатная открытка- Подкормка для цветов- Инструкция к букету- Аквабокс","in stock",new,"3190 RUB",https://flowwow.com/flowers/buket-n29-19-sht-50sm/,https://content3.flowwow-images.com/data/flowers/1000x1000/49/1637014990_92280049.jpg,657,2899,flowwow://present/bouquet?city_id=1&bouquet_id=51269,flowwow://present/bouquet?city_id=1&bouquet_id=51269,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fcity_id%3D1%26bouquet_id%3D51269&redirect=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.flowwow%26hl%3Dru%26gl%3DUS,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fbouquet_id%3D51269%26city_id%3D1,com.flowwow,1201155481,1,cat1,cat1
65868,"","Весенний и яркий букет из альстромерий разного цвета. Букет упакован в стильную крафтовую упаковку и перевязан атласной лентой. Подарки к каждому букету:- Бесплатная открытка с вашим текстом- Подкормка для цветов- Инструкция к букету- Аквабокс","in stock",new,"2494 RUB",https://flowwow.com/flowers/buket-vesna-15-alstromeriy/,https://content2.flowwow-images.com/data/flowers/1000x1000/42/1637436428_24510142.jpg,657,2899,flowwow://present/bouquet?city_id=1&bouquet_id=65868,flowwow://present/bouquet?city_id=1&bouquet_id=65868,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fcity_id%3D1%26bouquet_id%3D65868&redirect=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.flowwow%26hl%3Dru%26gl%3DUS,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fbouquet_id%3D65868%26city_id%3D1,com.flowwow,1201155481,1,cat1,cat1
93706,"Букет Фруктовый коктейль","Яркий букетик из солнечных разноцветных гербер и синих ирисов. Букет станет отличным подарком на любое мероприятие и обязательно порадует Вашего получателя.Подарки к каждому букету:- Бесплатная открытка с вашим текстом- Подкормка для цветов- Инструкция к","in stock",new,"2350 RUB",https://flowwow.com/flowers/buket-fruktoviy-kokteyl/,https://content2.flowwow-images.com/data/flowers/1000x1000/38/1645781871_49102538.jpg,657,2899,flowwow://present/bouquet?city_id=1&bouquet_id=93706,flowwow://present/bouquet?city_id=1&bouquet_id=93706,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fcity_id%3D1%26bouquet_id%3D93706&redirect=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.flowwow%26hl%3Dru%26gl%3DUS,https://app.adjust.com/vip0zbr?deep_link=flowwow%3A%2F%2Fpresent%2Fbouquet%3Fbouquet_id%3D93706%26city_id%3D1,com.flowwow,1201155481,1,cat2,cat1
